index,RegionID,RegionName,SizeRank,RegionType,StateRegionID,StateName,MSARegionID,MSA,CountyRegionID,CountyName,CityRegionID,City,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1
42,394910,"New Orleans, LA",42,Metro,25.0,LA,394910.0,New Orleans,,,,,0.20802841,0.22362836,0.210866176,0.230564768,0.220443859,0.20316174,0.207914905,0.154947067,0.152234323,0.156699695,0.158433391,0.149337299,0.176361252,0.158050089,0.163028707,0.155801478,0.144451305,0.136237384,0.142144696593398,0.140609245806484,0.129265207155327,0.114154857383418,0.109653203357596,0.103873099134845
43,394425,"Buffalo, NY",43,Metro,43.0,NY,394425.0,Buffalo,,,,,0.137864187,0.128077473,0.119528926,0.129251747,0.123377351,0.109215115,0.101076244,0.094658937,0.08865975,0.090147723,0.085758987,0.085474282,0.079948171,0.068565906,0.070319361,0.061027165,0.061111667,0.05960266,0.0630055975075278,0.0633317337807933,0.0595519018260745,0.0497433907374523,0.0432469449910013,0.0404367633176545
44,395012,"Raleigh, NC",44,Metro,36.0,NC,395012.0,Raleigh,,,,,0.216307687,0.209188435,0.216975028,0.222823777,0.234013309,0.215003033,0.215231847,0.201152967,0.185438653,0.152165201,0.14277516,0.142876683,0.122412429,0.115982306,0.118701866,0.098713019,0.086676157,0.079816538,0.0780403365805182,0.0763529955053216,0.0672855781842537,0.0631697202572915,0.0651251671670912,0.0677146950875201
45,394388,"Birmingham, AL",45,Metro,4.0,AL,394388.0,Birmingham,,,,,0.327945998,0.324347157,0.314581401,0.307788628,0.321631912,0.300289223,0.231819452,0.224623593,0.24488313,0.2224016,0.214117161,0.219097417,0.221355634,0.206381973,0.212814028,0.190502743,0.172843462,0.154784668,0.15242882205226,0.143262680217533,0.129582318848293,0.114441771573639,0.117938242461693,0.127837509121425
46,395053,"Salt Lake City, UT",46,Metro,55.0,UT,395053.0,Salt Lake City,,,,,0.354581283,0.377312467,0.36121744,0.351471322,0.338121279,0.280778432,0.255562389,0.230672503,0.188502775,0.171492154,0.164370297,0.168022703,0.206491957,0.2053349,0.198796684,0.195326339,0.18227311,0.17083385,0.161647488715201,0.154181254627216,0.150431435853942,0.129066821572183,0.126118912326941,0.123237800556517
47,395031,"Rochester, NY",47,Metro,43.0,NY,395031.0,Rochester,,,,,0.11926665,0.12193241,0.131922897,0.125148529,0.131617689,0.115462896,0.114241591,0.110962965,0.096932314,0.093460732,0.090077541,0.090922963,0.080602844,0.077192492,0.083499293,0.069397348,0.064487607,0.063392652,0.0634498050574222,0.0615663736119196,0.0608531193724066,0.0599196293467582,0.0594148192197709,0.0590909122691087
48,394640,"Grand Rapids, MI",48,Metro,30.0,MI,394640.0,Grand Rapids,,,,,0.381262254,0.382359196,0.363996725,0.355118176,0.357690557,0.332668909,0.324168053,0.283798912,0.254348752,0.213888524,0.18422586,0.176496369,0.163216323,0.146376845,0.145112698,0.126783691,0.109769423,0.082786456,0.0784221647056399,0.0734719526448509,0.0678987748268656,0.060378869212159,0.0578426576014026,0.0574210911114754
49,395167,"Tucson, AZ",49,Metro,8.0,AZ,395167.0,Tucson,,,,,0.464461969,0.461652606,0.490116477,0.488279875,0.467464915,0.435215366,0.423339393,0.408187599,0.380388766,0.354713636,0.306232482,0.294907021,0.276935983,0.261041422,0.25860455,0.244369479,0.237983702,0.219400748,0.208500218910636,0.204992845420665,0.182933316139848,0.163548449800758,0.148611043699138,0.140854489164087
50,753924,"Urban Honolulu, HI",50,Metro,18.0,HI,753924.0,Urban Honolulu,,,,,0.116899717,0.116972241,0.121766309,0.11873532,0.119773416,0.116761405,0.111494512,0.098597762,0.097755796,0.08606466,0.075714122,0.062816256,0.057139794,0.054370512,0.055917835,0.04707727,0.043426685,0.042581668,0.043848757727445,0.0457111350329509,0.0430839299035454,0.042837559972584,0.0422161874196021,0.0434748105334162
51,395169,"Tulsa, OK",51,Metro,45.0,OK,395169.0,Tulsa,,,,,0.184637469,0.187191359,0.183286025,0.189223791,0.199470567,0.185634397,0.171088125,0.159443633,0.157387566,0.14233315,0.131345146,0.138489374,0.125119676,0.12848168,0.128384521,0.108379241,0.100236495,0.099671988,0.0975659690417789,0.0962041545508511,0.0992998597580812,0.0938957203023813,0.0949262080458797,0.0960550305533659
